,Price ($/kWh),cld - distribution,mec - generation,mgcc - generation,fixed cost
2024-12-01 00:00:00-08:00,0.08461,0.015826,0.068784,0.0,0
2024-12-01 01:00:00-08:00,0.915712,0.847776,0.067936,0.0,0
2024-12-01 02:00:00-08:00,0.907903,0.84466,0.063243,0.0,0
2024-12-01 03:00:00-08:00,0.92441,0.862236,0.062174,0.0,0
2024-12-01 04:00:00-08:00,0.992541,0.928956,0.063585,0.0,0
2024-12-01 05:00:00-08:00,0.998848,0.933764,0.065084,0.0,0
2024-12-01 06:00:00-08:00,1.030869,0.965326,0.065543,0.0,0
2024-12-01 07:00:00-08:00,1.040545,0.985572,0.054973,0.0,0
2024-12-01 08:00:00-08:00,1.04886,1.002713,0.046147,0.0,0
2024-12-01 09:00:00-08:00,1.133842,1.086819,0.047023,0.0,0
2024-12-01 10:00:00-08:00,1.145861,1.10213,0.043731,0.0,0
2024-12-01 11:00:00-08:00,1.156859,1.115455,0.041404,0.0,0
2024-12-01 12:00:00-08:00,1.167986,1.127704,0.040282,0.0,0
2024-12-01 13:00:00-08:00,1.210786,1.170075,0.040711,0.0,0
2024-12-01 14:00:00-08:00,1.222297,1.177798,0.044499,0.0,0
2024-12-01 15:00:00-08:00,1.258733,1.197865,0.060868,0.0,0
2024-12-01 16:00:00-08:00,1.305307,1.233452,0.071855,0.0,0
2024-12-01 17:00:00-08:00,1.313676,1.23944,0.074236,0.0,0
2024-12-01 18:00:00-08:00,1.269943,1.197942,0.072001,0.0,0
2024-12-01 19:00:00-08:00,1.229496,1.158657,0.070839,0.0,0
2024-12-01 20:00:00-08:00,1.210338,1.139935,0.070403,0.0,0
2024-12-01 21:00:00-08:00,1.182138,1.111153,0.070985,0.0,0
2024-12-01 22:00:00-08:00,1.155851,1.086916,0.068935,0.0,0
2024-12-01 23:00:00-08:00,1.021845,0.954217,0.067628,0.0,0
2024-12-02 00:00:00-08:00,0.095278,0.025041,0.070237,0.0,0
2024-12-02 01:00:00-08:00,1.058722,0.994453,0.064269,0.0,0
2024-12-02 02:00:00-08:00,1.041995,0.977748,0.064247,0.0,0
2024-12-02 03:00:00-08:00,1.085324,1.021718,0.063606,0.0,0
2024-12-02 04:00:00-08:00,1.243474,1.177403,0.066071,0.0,0
2024-12-02 05:00:00-08:00,1.412641,1.334682,0.077959,0.0,0
2024-12-02 06:00:00-08:00,1.456547,1.376601,0.079946,0.0,0
2024-12-02 07:00:00-08:00,1.471965,1.395441,0.076524,0.0,0
2024-12-02 08:00:00-08:00,1.461854,1.405698,0.056156,0.0,0
2024-12-02 09:00:00-08:00,1.458012,1.407726,0.050286,0.0,0
2024-12-02 10:00:00-08:00,1.456048,1.408203,0.047845,0.0,0
2024-12-02 11:00:00-08:00,1.453778,1.408816,0.044962,0.0,0
2024-12-02 12:00:00-08:00,1.452676,1.409035,0.043641,0.0,0
2024-12-02 13:00:00-08:00,1.452302,1.40859,0.043712,0.0,0
2024-12-02 14:00:00-08:00,1.45588,1.40803,0.04785,0.0,0
2024-12-02 15:00:00-08:00,1.472099,1.406501,0.065598,0.0,0
2024-12-02 16:00:00-08:00,1.481998,1.40548,0.076518,0.0,0
2024-12-02 17:00:00-08:00,1.478919,1.399159,0.07976,0.0,0
2024-12-02 18:00:00-08:00,1.45384,1.377751,0.076089,0.0,0
2024-12-02 19:00:00-08:00,1.428408,1.352919,0.075489,0.0,0
2024-12-02 20:00:00-08:00,1.408812,1.333332,0.07548,0.0,0
2024-12-02 21:00:00-08:00,1.392162,1.317532,0.07463,0.0,0
2024-12-02 22:00:00-08:00,1.36241,1.289287,0.073123,0.0,0
2024-12-02 23:00:00-08:00,1.293925,1.224016,0.069909,0.0,0
2024-12-03 00:00:00-08:00,0.087171,0.02996,0.057211,0.0,0
2024-12-03 01:00:00-08:00,1.102927,1.048624,0.054303,0.0,0
2024-12-03 02:00:00-08:00,1.1161,1.062826,0.053274,0.0,0
2024-12-03 03:00:00-08:00,1.120872,1.067431,0.053441,0.0,0
2024-12-03 04:00:00-08:00,1.271881,1.217433,0.054448,0.0,0
2024-12-03 05:00:00-08:00,1.414202,1.349395,0.064807,0.0,0
2024-12-03 06:00:00-08:00,1.46268,1.390287,0.072393,0.0,0
2024-12-03 07:00:00-08:00,1.472544,1.404499,0.068045,0.0,0
2024-12-03 08:00:00-08:00,1.464789,1.408357,0.056432,0.0,0
2024-12-03 09:00:00-08:00,1.462516,1.409245,0.053271,0.0,0
2024-12-03 10:00:00-08:00,1.458986,1.409348,0.049638,0.0,0
2024-12-03 11:00:00-08:00,1.457781,1.409417,0.048364,0.0,0
2024-12-03 12:00:00-08:00,1.455026,1.409347,0.045679,0.0,0
2024-12-03 13:00:00-08:00,1.454342,1.409196,0.045146,0.0,0
