,Price ($/kWh),cld - distribution,mec - generation,mgcc - generation,fixed cost
2024-12-01 00:00:00-08:00,0.068784,0.0,0.068784,0.0,0
2024-12-01 01:00:00-08:00,0.067936,0.0,0.067936,0.0,0
2024-12-01 02:00:00-08:00,0.063243,0.0,0.063243,0.0,0
2024-12-01 03:00:00-08:00,0.062174,0.0,0.062174,0.0,0
2024-12-01 04:00:00-08:00,0.063585,0.0,0.063585,0.0,0
2024-12-01 05:00:00-08:00,0.065084,0.0,0.065084,0.0,0
2024-12-01 06:00:00-08:00,0.065543,0.0,0.065543,0.0,0
2024-12-01 07:00:00-08:00,0.054973,0.0,0.054973,0.0,0
2024-12-01 08:00:00-08:00,0.046147,0.0,0.046147,0.0,0
2024-12-01 09:00:00-08:00,0.047023,0.0,0.047023,0.0,0
2024-12-01 10:00:00-08:00,0.043731,0.0,0.043731,0.0,0
2024-12-01 11:00:00-08:00,0.041404,0.0,0.041404,0.0,0
2024-12-01 12:00:00-08:00,0.040282,0.0,0.040282,0.0,0
2024-12-01 13:00:00-08:00,0.040711,0.0,0.040711,0.0,0
2024-12-01 14:00:00-08:00,0.044499,0.0,0.044499,0.0,0
2024-12-01 15:00:00-08:00,0.060869,1e-06,0.060868,0.0,0
2024-12-01 16:00:00-08:00,0.071858,3e-06,0.071855,0.0,0
2024-12-01 17:00:00-08:00,0.074242,6e-06,0.074236,0.0,0
2024-12-01 18:00:00-08:00,0.072006,5e-06,0.072001,0.0,0
2024-12-01 19:00:00-08:00,0.070842,3e-06,0.070839,0.0,0
2024-12-01 20:00:00-08:00,0.070406,3e-06,0.070403,0.0,0
2024-12-01 21:00:00-08:00,0.070987,2e-06,0.070985,0.0,0
2024-12-01 22:00:00-08:00,0.068936,1e-06,0.068935,0.0,0
2024-12-01 23:00:00-08:00,0.067628,0.0,0.067628,0.0,0
2024-12-02 00:00:00-08:00,0.070237,0.0,0.070237,0.0,0
2024-12-02 01:00:00-08:00,0.064269,0.0,0.064269,0.0,0
2024-12-02 02:00:00-08:00,0.064247,0.0,0.064247,0.0,0
2024-12-02 03:00:00-08:00,0.063606,0.0,0.063606,0.0,0
2024-12-02 04:00:00-08:00,0.066071,0.0,0.066071,0.0,0
2024-12-02 05:00:00-08:00,0.077959,0.0,0.077959,0.0,0
2024-12-02 06:00:00-08:00,0.079947,1e-06,0.079946,0.0,0
2024-12-02 07:00:00-08:00,0.076525,1e-06,0.076524,0.0,0
2024-12-02 08:00:00-08:00,0.056156,0.0,0.056156,0.0,0
2024-12-02 09:00:00-08:00,0.050286,0.0,0.050286,0.0,0
2024-12-02 10:00:00-08:00,0.047845,0.0,0.047845,0.0,0
2024-12-02 11:00:00-08:00,0.044962,0.0,0.044962,0.0,0
2024-12-02 12:00:00-08:00,0.043641,0.0,0.043641,0.0,0
2024-12-02 13:00:00-08:00,0.043712,0.0,0.043712,0.0,0
2024-12-02 14:00:00-08:00,0.04785,0.0,0.04785,0.0,0
2024-12-02 15:00:00-08:00,0.065599,1e-06,0.065598,0.0,0
2024-12-02 16:00:00-08:00,0.076521,3e-06,0.076518,0.0,0
2024-12-02 17:00:00-08:00,0.079767,7e-06,0.07976,0.0,0
2024-12-02 18:00:00-08:00,0.076095,6e-06,0.076089,0.0,0
2024-12-02 19:00:00-08:00,0.075493,4e-06,0.075489,0.0,0
2024-12-02 20:00:00-08:00,0.075483,3e-06,0.07548,0.0,0
2024-12-02 21:00:00-08:00,0.074631,1e-06,0.07463,0.0,0
2024-12-02 22:00:00-08:00,0.073124,1e-06,0.073123,0.0,0
2024-12-02 23:00:00-08:00,0.069909,0.0,0.069909,0.0,0
2024-12-03 00:00:00-08:00,0.057211,0.0,0.057211,0.0,0
2024-12-03 01:00:00-08:00,0.054303,0.0,0.054303,0.0,0
2024-12-03 02:00:00-08:00,0.053274,0.0,0.053274,0.0,0
2024-12-03 03:00:00-08:00,0.053441,0.0,0.053441,0.0,0
2024-12-03 04:00:00-08:00,0.054448,0.0,0.054448,0.0,0
2024-12-03 05:00:00-08:00,0.064807,0.0,0.064807,0.0,0
2024-12-03 06:00:00-08:00,0.072394,1e-06,0.072393,0.0,0
2024-12-03 07:00:00-08:00,0.068046,1e-06,0.068045,0.0,0
2024-12-03 08:00:00-08:00,0.056432,0.0,0.056432,0.0,0
2024-12-03 09:00:00-08:00,0.053271,0.0,0.053271,0.0,0
2024-12-03 10:00:00-08:00,0.049638,0.0,0.049638,0.0,0
2024-12-03 11:00:00-08:00,0.048364,0.0,0.048364,0.0,0
2024-12-03 12:00:00-08:00,0.045679,0.0,0.045679,0.0,0
2024-12-03 13:00:00-08:00,0.045146,0.0,0.045146,0.0,0
2024-12-03 14:00:00-08:00,0.04863,0.0,0.04863,0.0,0
2024-12-03 15:00:00-08:00,0.06001,1e-06,0.060009,0.0,0
2024-12-03 16:00:00-08:00,0.073078,4e-06,0.073074,0.0,0
2024-12-03 17:00:00-08:00,0.073775,6e-06,0.073769,0.0,0
2024-12-03 18:00:00-08:00,0.075165,5e-06,0.07516,0.0,0
2024-12-03 19:00:00-08:00,0.070971,4e-06,0.070967,0.0,0
2024-12-03 20:00:00-08:00,0.070591,2e-06,0.070589,0.0,0
2024-12-03 21:00:00-08:00,0.069072,2e-06,0.06907,0.0,0
2024-12-03 22:00:00-08:00,0.065009,1e-06,0.065008,0.0,0
2024-12-03 23:00:00-08:00,0.060955,0.0,0.060955,0.0,0
2024-12-04 00:00:00-08:00,0.053406,0.0,0.053406,0.0,0
2024-12-04 01:00:00-08:00,0.052639,0.0,0.052639,0.0,0
2024-12-04 02:00:00-08:00,0.051537,0.0,0.051537,0.0,0
2024-12-04 03:00:00-08:00,0.051834,0.0,0.051834,0.0,0
2024-12-04 04:00:00-08:00,0.05221,0.0,0.05221,0.0,0
2024-12-04 05:00:00-08:00,0.060685,0.0,0.060685,0.0,0
2024-12-04 06:00:00-08:00,0.065722,0.0,0.065722,0.0,0
2024-12-04 07:00:00-08:00,0.063259,1e-06,0.063258,0.0,0
2024-12-04 08:00:00-08:00,0.054202,0.0,0.054202,0.0,0
